"";"Number";"ISOWeek";"Sales";"Price";"MovingAverage";"Seasonality";"CleanSales";"LinearSales";"ExpSales";"LogSales";"TrendEffect";"PriceEffect";"TrendForecast";"PriceForecast";"TPForecast"
"130";130;201426;5436;35,05;5493,10576923077;45,7403846153843;5390,25961538462;5067,35846459538;4524,09475773315;5048,09425760405;293,061108768106;37,2234645953795;5363,79646135311;5168,63680490891;5724,99679472793
"131";131;201427;5322;35,66;5478,45192307692;-15,3397435897435;5337,33974358974;5059,93761571533;4523,9009261332;5041,28118194127;298,807079643339;29,8026157153272;5310,17279094691;5114,42670108625;5651,54571063061
"132";132;201428;5006;37,16;5512,89423076923;-340,480769230769;5346,48076923077;5041,68962666602;4523,42432636908;5025,01126031379;304,553050518572;11,5546266660185;4999,93644289621;4810,85877562258;5283,452361236
"133";133;201429;5952;35,64;5506,29807692308;390,423076923077;5561,57692307692;5060,18092223598;4523,90728113595;5041,50270753923;310,299021393806;30,0459222359841;5715,95769260215;5509,16404540257;6068,92282912518
"134";134;201430;5408;36,39;5501,20192307692;-375,634615384615;5783,63461538462;5051,05692771133;4523,66897464248;5033,27939144035;316,04499226904;20,9219277113298;4977,24137061329;4770,03565361618;5311,60271292638
"135";135;201431;6039;36,38;5502,375;177,88141025641;5861,11858974359;5051,17858097166;4523,67215197982;5033,38791675862;321,790963144273;21,0435809716591;5520,87828001996;5308,6597740754;5857,22739247622
"136";136;201432;5679;36,38;5507,75961538462;-28,150641025641;5707,15064102564;5051,17858097166;4523,67215197982;5033,38791675862;327,536934019507;21,0435809716591;5326,39126531828;5108,13889866919;5672,51828305014
"137";137;201433;5551;36,66;5517,20192307692;-622,782051282051;6173,78205128205;5047,77228968246;4523,58318737792;5030,36042594111;333,28290489474;17,637289682455;4754,26589898767;4531,81684946317;5101,52483713067
"138";138;201434;4869;37,15;5535,11538461538;-513,955128205128;5382,95512820513;5041,81127992635;4523,42750353459;5025,11753655397;339,028875769973;11,676279926347;4865,75680557314;4641,93886384085;5196,85720969499
"139";139;201435;4629;37,36;5552,29807692308;-880,384615384616;5509,38461538462;5039,25656145944;4523,36078352767;5022,89172023811;344,774846645207;9,12156145944391;4515,39659679907;4287,1136636342;4848,36702509554
"140";140;201436;4458;39,42;5544,16346153846;-937,935897435897;5395,9358974359;5014,19598983173;4522,70634420473;5001,6980197044;350,52081752044;-15,9390101682729;4465,20223633359;4248,78468112916;4711,67596086244
"141";141;201437;4507;38,7;5531,53846153846;-1212,33653846154;5719,33653846154;5022,9550245754;4522,93506951464;5008,97692384037;356,266788395674;-7,17997542460489;4204,2750669129;3975,54360073065;4494,35498585284
"142";142;201438;4265;38,6;5527,20192307692;-1509,33653846154;5774,33653846154;5024,17155717868;4522,96683783363;5009,9985786613;362,012759270907;-5,96344282131759;3921,3859861461;3685,62969815588;4226,82707686613
"143";143;201439;3680;39,15;5526,15384615385;-1579,9358974359;5259,9358974359;5017,4806278606;4522,79211484045;5004,41190920517;367,758730146141;-12,6543721393973;3858,51158865184;3621,63996003499;4146,98579991297
"144";144;201440;4338;39,41;5525,54807692308;-1236,60576923077;5574,60576923077;5014,31764309206;4522,70952086594;5001,79820221616;373,504701021374;-15,8173569079445;4197,89119806494;3958,01812620873;4478,22892117242
"145";145;201441;4104;39,78;5526,92307692308;-1495,36217948718;5599,36217948718;5009,81647245989;4522,59198588731;4998,10827345412;379,250671896607;-20,3185275401065;3952,16699124251;3709,35926847849;4225,85288979419
"146";146;201442;4034;38,62;5509,34615384615;-1578,91025641026;5612,91025641026;5023,92825065803;4522,96048415198;5009,79403611956;384,996642771841;-6,2067493419745;3876,70911313014;3618,08869406284;4212,14735492742
"147";147;201443;3639;39,93;5496,18269230769;-1878,38141025641;5517,38141025641;5007,99167355496;4522,54433744181;4996,62212428542;390,742613647074;-22,1433264450379;3591,41858098796;3337,87305114257;3877,45196763887
"148";148;201444;3828;41,35;5508,98076923077;-1667,3108974359;5495,3108974359;4990,71691058828;4522,0932903609;4982,82361149915;396,488584522307;-39,4180894117162;3802,26914888965;3555,48676508608;4028,29778532273
"149";149;201445;4444;38,62;5512,44230769231;-1463,57371794872;5907,57371794872;5023,92825065803;4522,96048415198;5009,79403611956;402,234555397541;-6,2067493419745;4005,99323073832;3730,34008172179;4362,7991756734
"150";150;201446;4244;40,9;5505,26923076923;-1418,61217948718;5662,61217948718;4996,19130730308;4522,23622294692;4987,14441365338;407,980526272774;-33,9436926969238;4055,42016831479;3793,67025216262;4314,50646443718
"151";151;201447;3893;43,52;5500,18269230769;-1399,35256410256;5292,35256410256;4964,31815309695;4521,40410108417;4962,62676156198;413,726497148007;-65,8168469030497;4079,87014275349;3834,90453253773;4225,89213381283
"152";152;201448;4334;41,35;5494,71153846154;-755,419871794872;5089,41987179487;4990,71691058828;4522,0932903609;4982,82361149915;419,472468023241;-39,4180894117162;4711,37338588213;4442,98550908629;4957,65826464096
"153";153;201449;6307;38,46;5491,125;611,923076923077;5695,07692307692;5025,87470282328;4523,01131385508;5011,43335084774;425,218438898474;-4,26029717671554;6045,88205213667;5748,94574014869;6417,6583815368
"154";154;201450;9101;39,84;5491,92307692308;3083,75961538462;6017,24038461538;5009,08655289792;4522,57292644887;4997,51314241756;430,964409773708;-21,0484471020791;8453,73046788628;8166,50862370396;8742,78534561571
"155";155;201451;13408;40;5501,74038461538;9836,78525641026;3571,21474358974;5007,14010073266;4522,52210167237;4995,93049754134;436,710380648941;-22,994899267339;15022,0108513342;14740,2702031592;15237,9070269598
"156";156;201452;23068;40,42;5512,71153846154;20630,8429487179;2437,15705128205;5002,03066379886;4522,38868935158;4991,80598517084;442,456351524174;-28,1043362011451;25517,3401284128;25249,2016027701;25604,239228846
"157";157;201501;17330;43,83;5512,76923076923;7270,57051282051;10059,4294871795;4960,54690202676;4521,30565404793;4959,82401358253;448,202322399408;-69,5880979732392;12539,6471174692;12275,5758165129;12622,4982765266
"158";158;201502;3901;42,78;5511,82692307692;-1601,11538461538;5502,11538461538;4973,32049436128;4521,63911235269;4969,39873129948;453,948293274641;-56,8145056387239;3923,93356527269;3632,18659675197;4158,93266883632
